Date,Open,High,Low,Close,Volume
07-Jul-17,142.9,144.75,142.9,144.18,19201712
06-Jul-17,143.02,143.5,142.41,142.73,24128782
05-Jul-17,143.69,144.79,142.72,144.09,21569557
03-Jul-17,144.88,145.3,143.1,143.5,14277848
30-Jun-17,144.45,144.96,143.78,144.02,23024107
29-Jun-17,144.71,145.13,142.28,143.68,31499368
28-Jun-17,144.49,146.11,143.16,145.83,22082432
27-Jun-17,145.01,146.16,143.62,143.73,24761891
26-Jun-17,147.17,148.28,145.38,145.82,25692361
23-Jun-17,145.13,147.16,145.11,146.28,35439389
22-Jun-17,145.77,146.7,145.12,145.63,19106294
21-Jun-17,145.52,146.07,144.61,145.87,21265751
20-Jun-17,146.87,146.87,144.94,145.01,24900073
19-Jun-17,143.66,146.74,143.66,146.34,32541404
16-Jun-17,143.78,144.5,142.2,142.27,50361093
15-Jun-17,143.32,144.48,142.21,144.29,32165373
14-Jun-17,147.5,147.5,143.84,145.16,31531232
13-Jun-17,147.16,147.45,145.15,146.59,34165445
12-Jun-17,145.74,146.09,142.51,145.42,72307330
09-Jun-17,155.19,155.19,146.02,148.98,64882657
08-Jun-17,155.25,155.54,154.4,154.99,21250798
07-Jun-17,155.02,155.98,154.48,155.37,21069647
06-Jun-17,153.9,155.81,153.78,154.45,26624926
05-Jun-17,154.34,154.45,153.46,153.93,25331662
02-Jun-17,153.58,155.45,152.89,155.45,27770715
01-Jun-17,153.17,153.33,152.22,153.18,16404088
31-May-17,153.97,154.17,152.38,152.76,24451164
30-May-17,153.42,154.43,153.33,153.67,20126851
26-May-17,154,154.24,153.31,153.61,21927637
25-May-17,153.73,154.35,153.03,153.87,19235598
24-May-17,153.84,154.17,152.67,153.34,19219154
23-May-17,154.9,154.9,153.31,153.8,19918871
22-May-17,154,154.58,152.91,153.99,22966437
19-May-17,153.38,153.98,152.63,153.06,26960788
18-May-17,151.27,153.34,151.13,152.54,33568215
17-May-17,153.6,154.57,149.71,150.25,50767678
16-May-17,155.94,156.06,154.72,155.47,20048478
15-May-17,156.01,156.65,155.05,155.7,26009719
12-May-17,154.7,156.42,154.67,156.1,32527017
11-May-17,152.45,154.07,152.31,153.95,27255058
10-May-17,153.63,153.94,152.11,153.26,25805692
09-May-17,153.87,154.88,153.45,153.99,39130363
08-May-17,149.03,153.7,149.03,153.01,48752413
05-May-17,146.76,148.98,146.76,148.96,27327725
04-May-17,146.52,147.14,145.81,146.53,23371872
03-May-17,145.59,147.49,144.27,147.06,45697034
02-May-17,147.54,148.09,146.84,147.51,45352194
01-May-17,145.1,147.2,144.96,146.58,33602943
28-Apr-17,144.09,144.3,143.27,143.65,20860358
27-Apr-17,143.92,144.16,143.31,143.79,14246347
26-Apr-17,144.47,144.6,143.38,143.68,20041241
25-Apr-17,143.91,144.9,143.87,144.53,18871501
24-Apr-17,143.5,143.95,143.18,143.64,17134333
21-Apr-17,142.44,142.68,141.85,142.27,17320928
20-Apr-17,141.22,142.92,141.16,142.44,23319562
19-Apr-17,141.88,142,140.45,140.68,17328375
18-Apr-17,141.41,142.04,141.11,141.2,14697544
17-Apr-17,141.48,141.88,140.87,141.83,16582094
13-Apr-17,141.91,142.38,141.05,141.05,17822880
12-Apr-17,141.6,142.15,141.01,141.8,20350000
11-Apr-17,142.94,143.35,140.06,141.63,30379376
10-Apr-17,143.6,143.88,142.9,143.17,18933397
07-Apr-17,143.73,144.18,143.27,143.34,16672198
06-Apr-17,144.29,144.52,143.45,143.66,21149034
05-Apr-17,144.22,145.46,143.81,144.02,27717854
04-Apr-17,143.25,144.89,143.17,144.77,19891354
03-Apr-17,143.71,144.12,143.05,143.7,19985714
31-Mar-17,143.72,144.27,143.01,143.66,19661651
30-Mar-17,144.19,144.5,143.5,143.93,21207252
29-Mar-17,143.68,144.49,143.19,144.12,29189955
28-Mar-17,140.91,144.04,140.62,143.8,33374805
27-Mar-17,139.39,141.22,138.62,140.88,23575094
24-Mar-17,141.5,141.74,140.35,140.64,22395563
23-Mar-17,141.26,141.58,140.61,140.92,20346301
22-Mar-17,139.84,141.6,139.76,141.42,25860165
21-Mar-17,142.11,142.8,139.73,139.84,39529912
20-Mar-17,140.4,141.5,140.23,141.46,21542038
17-Mar-17,141,141,139.89,139.99,43884952
16-Mar-17,140.72,141.02,140.26,140.69,19231998
15-Mar-17,139.41,140.75,139.02,140.46,25691774
14-Mar-17,139.3,139.65,138.84,138.99,15309065
13-Mar-17,138.85,139.43,138.82,139.2,17421717
10-Mar-17,139.25,139.36,138.64,139.14,19612801
09-Mar-17,138.74,138.79,137.05,138.68,22155904
08-Mar-17,138.95,139.8,138.82,139,18707236
07-Mar-17,139.06,139.98,138.79,139.52,17446297
06-Mar-17,139.36,139.77,138.6,139.34,21750044
03-Mar-17,138.78,139.83,138.59,139.78,21571121
02-Mar-17,140,140.28,138.76,138.96,26210984
01-Mar-17,137.89,140.15,137.6,139.79,36414585
28-Feb-17,137.08,137.44,136.7,136.99,23482860
27-Feb-17,137.14,137.44,136.28,136.93,20257426
24-Feb-17,135.91,136.66,135.28,136.66,21776585
23-Feb-17,137.38,137.48,136.3,136.53,20788186
22-Feb-17,136.43,137.12,136.11,137.11,20836932
21-Feb-17,136.23,136.75,135.98,136.7,24507156
17-Feb-17,135.1,135.83,135.1,135.72,22198197
16-Feb-17,135.67,135.9,134.84,135.34,22584555
15-Feb-17,135.52,136.27,134.62,135.51,35623100
14-Feb-17,133.47,135.09,133.25,135.02,33226223
13-Feb-17,133.08,133.82,132.75,133.29,23035421
10-Feb-17,132.46,132.94,132.05,132.12,20065458
09-Feb-17,131.65,132.44,131.12,132.42,28349859
08-Feb-17,131.35,132.22,131.22,132.04,23004072
07-Feb-17,130.54,132.09,130.45,131.53,38183841
06-Feb-17,129.13,130.5,128.9,130.29,26845924
03-Feb-17,128.31,129.19,128.16,129.08,24507301
02-Feb-17,127.98,129.39,127.78,128.53,33710411
01-Feb-17,127.03,130.49,127.01,128.75,111985040
31-Jan-17,121.15,121.39,120.62,121.35,49200993
30-Jan-17,120.93,121.63,120.66,121.63,30377503
27-Jan-17,122.14,122.35,121.6,121.95,20562944
26-Jan-17,121.67,122.44,121.6,121.94,26337576
25-Jan-17,120.42,122.1,120.28,121.88,32586673
24-Jan-17,119.55,120.1,119.5,119.97,23211038
23-Jan-17,120,120.81,119.77,120.08,22050218
20-Jan-17,120.45,120.45,119.73,120,32597892
19-Jan-17,119.4,120.09,119.37,119.78,25597291
18-Jan-17,120,120.5,119.71,119.99,23712961
17-Jan-17,118.34,120.24,118.22,120,34439843
13-Jan-17,119.11,119.62,118.81,119.04,26111948
12-Jan-17,118.9,119.3,118.21,119.25,27086220
11-Jan-17,118.74,119.93,118.6,119.75,27588593
10-Jan-17,118.77,119.38,118.3,119.11,24462051
09-Jan-17,117.95,119.43,117.94,118.99,33561948
06-Jan-17,116.78,118.16,116.47,117.91,31751900
05-Jan-17,115.92,116.86,115.81,116.61,22193587
04-Jan-17,115.85,116.51,115.75,116.02,21118116
03-Jan-17,115.8,116.33,114.76,116.15,28781865
30-Dec-16,116.65,117.2,115.43,115.82,30586265
29-Dec-16,116.45,117.11,116.4,116.73,15039519
28-Dec-16,117.52,118.02,116.2,116.76,20905892
27-Dec-16,116.52,117.8,116.49,117.26,18296855
23-Dec-16,115.59,116.52,115.59,116.52,14249484
22-Dec-16,116.35,116.51,115.64,116.29,26085854
21-Dec-16,116.8,117.4,116.78,117.06,23783165
20-Dec-16,116.74,117.5,116.68,116.95,21424965
19-Dec-16,115.8,117.38,115.75,116.64,27779423
16-Dec-16,116.47,116.5,115.64,115.97,44351134
15-Dec-16,115.38,116.73,115.23,115.82,46524544
14-Dec-16,115.04,116.2,114.98,115.19,34031834
13-Dec-16,113.84,115.92,113.75,115.19,43733811
12-Dec-16,113.29,115,112.49,113.3,26374377
09-Dec-16,112.31,114.7,112.31,113.95,34402627
08-Dec-16,110.86,112.43,110.6,112.12,27068316
07-Dec-16,109.26,111.19,109.16,111.03,29998719
06-Dec-16,109.5,110.36,109.19,109.95,26195462
05-Dec-16,110,110.03,108.25,109.11,34324540
02-Dec-16,109.17,110.09,108.85,109.9,26527997
01-Dec-16,110.36,110.94,109.03,109.49,37086862
30-Nov-16,111.6,112.2,110.27,110.52,36162258
29-Nov-16,110.78,112.03,110.07,111.46,28528750
28-Nov-16,111.43,112.46,111.39,111.57,27193983
25-Nov-16,111.47,111.87,110.95,111.79,11475922
23-Nov-16,111.36,111.51,110.33,111.23,27426394
22-Nov-16,111.95,112.42,111.4,111.8,25965534
21-Nov-16,110.12,111.99,110.01,111.73,29264571
18-Nov-16,109.72,110.54,109.66,110.06,28428917
17-Nov-16,109.81,110.35,108.83,109.95,26964598
16-Nov-16,106.7,110.23,106.6,109.99,58840522
15-Nov-16,106.57,107.68,106.16,107.11,32264510
14-Nov-16,107.71,107.81,104.08,105.71,51175504
11-Nov-16,107.12,108.87,106.55,108.43,34143898
10-Nov-16,111.09,111.09,105.83,107.79,57134541
09-Nov-16,109.88,111.32,108.05,110.88,59176361
08-Nov-16,110.31,111.72,109.7,111.06,24254179
07-Nov-16,110.08,110.51,109.46,110.41,32560000
04-Nov-16,108.53,110.25,108.11,108.84,30836997
03-Nov-16,110.98,111.46,109.55,109.83,26932602
02-Nov-16,111.4,112.35,111.23,111.59,28331709
01-Nov-16,113.46,113.77,110.53,111.49,43825812
31-Oct-16,113.65,114.23,113.2,113.54,26419398
28-Oct-16,113.87,115.21,113.45,113.72,37861662
27-Oct-16,115.39,115.86,114.1,114.48,34562045
26-Oct-16,114.31,115.7,113.31,115.59,66134219
25-Oct-16,117.95,118.36,117.31,118.25,48128970
24-Oct-16,117.1,117.74,117,117.65,23538673
21-Oct-16,116.81,116.91,116.28,116.6,23192665
20-Oct-16,116.86,117.38,116.33,117.06,24125801
19-Oct-16,117.25,117.76,113.8,117.12,20034594
18-Oct-16,118.18,118.21,117.45,117.47,24553478
17-Oct-16,117.33,117.84,116.78,117.55,23624896
14-Oct-16,117.88,118.17,117.13,117.63,35652191
13-Oct-16,116.79,117.44,115.72,116.98,35192406
12-Oct-16,117.35,117.98,116.75,117.34,37586787
11-Oct-16,117.7,118.69,116.2,116.3,64041043
10-Oct-16,115.02,116.75,114.72,116.05,36235956
07-Oct-16,114.31,114.56,113.51,114.06,24358443
06-Oct-16,113.7,114.34,113.13,113.89,28779313
05-Oct-16,113.4,113.66,112.69,113.05,21453089
04-Oct-16,113.06,114.31,112.63,113,29736835
03-Oct-16,112.71,113.05,112.28,112.52,21701760
30-Sep-16,112.46,113.37,111.8,113.05,36379106
29-Sep-16,113.16,113.8,111.8,112.18,35886990
28-Sep-16,113.69,114.64,113.43,113.95,29641085
27-Sep-16,113,113.18,112.34,113.09,24607412
26-Sep-16,111.64,113.39,111.55,112.88,29869442
23-Sep-16,114.42,114.79,111.55,112.71,52481151
22-Sep-16,114.35,114.94,114,114.62,31073984
21-Sep-16,113.85,113.99,112.44,113.55,36003185
20-Sep-16,113.05,114.12,112.51,113.57,34514269
19-Sep-16,115.19,116.18,113.25,113.58,47023046
16-Sep-16,115.12,116.13,114.04,114.92,79886911
15-Sep-16,113.86,115.73,113.49,115.57,90613177
14-Sep-16,108.73,113.03,108.6,111.77,112340318
13-Sep-16,107.51,108.79,107.24,107.95,62176190
12-Sep-16,102.65,105.72,102.53,105.44,45292770
09-Sep-16,104.64,105.72,103.13,103.13,46556984
08-Sep-16,107.25,107.27,105.24,105.52,53002026
07-Sep-16,107.83,108.76,107.07,108.36,42364328
06-Sep-16,107.9,108.3,107.51,107.7,26880391
02-Sep-16,107.7,108,106.82,107.73,26334858
01-Sep-16,106.14,106.8,105.62,106.73,26701523
31-Aug-16,105.66,106.57,105.64,106.1,29662406
30-Aug-16,105.8,106.5,105.5,106,24863945
29-Aug-16,106.62,107.44,106.29,106.82,24970300
26-Aug-16,107.41,107.95,106.31,106.94,27766291
25-Aug-16,107.39,107.88,106.68,107.57,25086248
24-Aug-16,108.56,108.75,107.68,108.03,23675081
23-Aug-16,108.59,109.32,108.53,108.85,21257669
22-Aug-16,108.86,109.1,107.85,108.51,25820230
19-Aug-16,108.77,109.69,108.36,109.36,25368072
18-Aug-16,109.23,109.6,109.02,109.08,21984703
17-Aug-16,109.1,109.37,108.34,109.22,25355976
16-Aug-16,109.63,110.23,109.21,109.38,33794448
15-Aug-16,108.14,109.54,108.08,109.48,25868209
12-Aug-16,107.78,108.44,107.78,108.18,18660434
11-Aug-16,108.52,108.93,107.85,107.93,27484506
10-Aug-16,108.71,108.9,107.76,108,24008505
09-Aug-16,108.23,108.94,108.01,108.81,26315204
08-Aug-16,107.52,108.37,107.16,108.37,28037220
05-Aug-16,106.27,107.65,106.18,107.48,40553402
04-Aug-16,105.58,106,105.28,105.87,27408650
03-Aug-16,104.81,105.84,104.77,105.79,30202641
02-Aug-16,106.05,106.07,104,104.48,33816556
01-Aug-16,104.41,106.15,104.41,106.05,38167871
29-Jul-16,104.19,104.55,103.68,104.21,27733688
28-Jul-16,102.83,104.45,102.82,104.34,39869839
27-Jul-16,104.26,104.35,102.75,102.95,92344820
26-Jul-16,96.82,97.97,96.42,96.67,56239822
25-Jul-16,98.25,98.84,96.92,97.34,40382921
22-Jul-16,99.26,99.3,98.31,98.66,28313669
21-Jul-16,99.83,101,99.13,99.43,32702028
20-Jul-16,100,100.46,99.74,99.96,26275968
19-Jul-16,99.56,100,99.34,99.87,23779924
18-Jul-16,98.7,100.13,98.6,99.83,36493867
15-Jul-16,98.92,99.3,98.5,98.78,30136990
14-Jul-16,97.39,98.99,97.32,98.79,38918997
13-Jul-16,97.41,97.67,96.84,96.87,25892171
12-Jul-16,97.17,97.7,97.12,97.42,24167463
11-Jul-16,96.75,97.65,96.73,96.98,23794945
